source_id,summary,Artifact type,Target / level,Model(s),Augmentation / workflow,Dataset / benchmark,Evaluation focus,Notable limitation
18aea096c841e31a1d1a3fd5506d8720,"This systematic literature review synthesizes 116 papers on LLM-based unit test generation. It finds the literature is concentrated on function- and class-level test generation, with less attention to test input generation, oracle construction, and long-term test evolution.",Unit test generation,"Function and class","GPT-family, LLaMA-based, encoder-decoder models","Prompt engineering, fine-tuning, agent-based approaches","Multiple studies across many benchmarks","Coverage, correctness, readability, compilability, naturalness","Review notes uneven datasets, languages, and metrics across studies"
18aea096c86bd9d53248d2b4088ac56e,"A large-scale empirical study across 216,300 generated test cases shows that reasoning-based prompting, especially guided tree-of-thought, improves reliability and compilability. Hallucination-driven failures remain a major challenge, with compilation failure rates reported up to 86%.",Unit test generation,"Full class","GPT-3.5, GPT-4, Mistral 7B, Mixtral 8x7B","Zero-shot, few-shot, CoT, ToT, Guided ToT","Defects4J, SF110, CMD","Syntactic correctness, compilability, readability, coverage, test smells","Hallucinations still drive many compile failures"
18aea096bb0de2a2ec7464fb0bb34d25,"Introduces TESTEVAL, a benchmark with 210 Python programs and three tasks: overall coverage, targeted line/branch coverage, and targeted path coverage. Across 16 LLMs, generating tests for specific execution elements remains difficult.",Benchmark for test generation,"Python programs / execution paths","16 commercial and open-source LLMs","Benchmark design; no generation method proposed","210 LeetCode Python programs","Overall coverage, targeted line/branch/path coverage","Targeted coverage remains hard for current LLMs"
18aea096bd65ff3dec52d172bc621079,"This paper shows that augmenting prompts with concise context from program analysis improves LLM unit test generation for Java methods. It validates the approach on a large commercial Java project and a popular open-source Java project.",Unit test generation,"Java methods","LLM-based; specific model not emphasized in abstract","Static-program-analysis-guided prompting","One large commercial Java project; one open-source Java project","Effectiveness of test generation","Most useful when concise structural context is available"
18aea096bd5644cfab718521b3688f97,"Presents a pipeline that uses static analysis to guide LLMs in generating compilable, high-coverage test cases for Java and Python. The authors report coverage that is competitive with, and sometimes better than, state-of-the-art techniques, plus a user study with 161 professional developers.",Multi-language unit test generation,"Java and Python functions / classes","LLMs; specific models not foregrounded in abstract","Static analysis-guided pipeline","Standard Java apps, enterprise Java apps, large Python benchmark","Coverage, naturalness, developer preference","Needs static-analysis guidance to be competitive"
18aea096baff4871f9d690384e6ab5e7,"This work examines LLM-generated test functions for machine learning code and compares them with retrieval-based methods. Programmers often preferred the LLM-generated tests, including in some cases over tests written by humans.",ML test function generation,"Machine learning source code","LLMs; specific model not emphasized in abstract","Representation-based comparison; retrieval-based baseline","Set of ML code and tests","Usefulness, documentation, correctness, programmer preference","Abstract gives little detail on scale and exact metrics"
18aea096c83a778ea03c98bf10af4c72,"An agent-based unit test generator that produces both passing and failing tests through modular stages for input generation, test construction, and file management. The paper reports 92.6% correctness across diverse Python functions.",Unit test generation,"Python functions","GPT-style LLMs","Agent-based modular pipeline","Diverse Python functions","Correctness, passing/failing test generation","Abstract does not specify benchmark scale"
18aea096bb8dc92af0f25ff6e250836d,"A prompt-orchestrated framework for converting user stories into BDD acceptance tests in agile environments. On 50 user stories, it reduced manual test design effort and produced 91.9% functionally correct scripts.",Acceptance / BDD test generation,"User stories to executable BDD tests","Dual-LLM engine (Gemini 1.5, GPT-4)","Schema-aware prompt orchestration, multi-level orchestration","50 user stories","Manual effort reduction, human quality rating, functional correctness","Focused on acceptance testing rather than unit tests"
18aea096bb8a4d8b2cb181d5d5f34898,"Generates test cases and test steps from bug descriptions using keyword-driven prompts. The method increases keyword match with error descriptions and is aimed at producing more reliable, error-specific test scenarios.",Bug-driven test scenario generation,"Bug descriptions to test scenarios","LLM-based; specific model not emphasized in abstract","Keyword extraction and structured prompt generation","Defects4J bug descriptions","Keyword match with error descriptions, scenario relevance","Appears narrower than full test-suite generation"
18aea096bb9c014eeeb60551b841a836,"Combines text and focal methods for test case generation using LLaMA 3-8B, prompt engineering, and an LLM-as-judge evaluation. The abstract reports 7,606 generated test cases and a 97% syntax correction rate.",Unit test generation,"Text + focal methods to test cases","LLaMA 3-8B","Prompt engineering; LLM-as-judge evaluation","Open-source projects; 136,060-entry dataset","Syntax correctness, test quality, generation scale","Abstract suggests quality still depends on combining text and code context"
